,dt,code,m30
162,20230701,2787,0.9667134498954956
163,20230701,2790,0.9095020320007652
164,20230701,2795,0.9106618268851456
166,20230701,2800,0.9676690389256016
167,20230701,2810,0.992062517231396
168,20230701,2820,1.0409291593324657
169,20230701,2840,1.0575540986296996
170,20230701,2870,1.0113048932695996
171,20230701,2880,0.9814851022934724
172,20230701,2900,0.8865058553329813
173,20230701,2920,0.9471680814411876
174,20230701,2960,0.9847708871686314
175,20230701,2990,0.9651148524438072
176,20230701,2995,0.9438221146469126
177,20230701,3000,0.9324653012031766
178,20230701,3010,1.0196722877975648
179,20230701,3030,1.2594841881273688
180,20230701,3060,0.9437110600129188
181,20230701,3070,0.9768724153517097
182,20230701,3075,0.9436607425135946
183,20230701,3080,0.9996495255281656
184,20230701,3090,0.85711448559891
